product_name,product_description,product_rating,product_price,regular_price,product_url
La Roche-Posay Anthelios,"niewidoczna mgiełka do twarzy z filtrem SPF50, 75 ml",(55),84.99,84.99,/la-roche-posay-mgielka-do-twarzy-75ml-000000000000311374.html
Nacomi Dermo,"nawilżający krem do twarzy, 50 ml",(37),21.59,35.99,/nacomi-nawilzajacy-krem-do-twarzy-50-ml-000000000000424298.html
Cetaphil MD Dermoprotektor,"balsam nawilżający do twarzy i ciała, 500 ml",(7),69.99,94.99,/cetaphil-balsam-nawilzajacy-do-twarzy-i-ciala-500-ml-000000000000384536.html
Nivea Sun,"fluid z SPF50+ do twarzy, 40 ml",,62.89,62.89,/nivea-fluid-z-spf50-do-twarzy-40-ml-000000000000437834.html
Bandi Medical Expert Anti Dark Spot,"tonujący krem do twarzy z SPF50, 50 ml",(21),67.99,84.99,/bandi-tonujacy-krem-do-twarzy-z-spf50-50-ml-000000000000428285.html
Ziaja Naturalnie Pielęgnujemy,"regenerujący krem do twarzy na noc, 50 ml",(27),12.29,12.29,/ziaja-regenerujacy-krem-do-twarzy-na-noc-50-ml-000000000000411828.html
Dermedic Sunbrella Baby,"mleczko ochronne do opalania w sprayu SPF50+, 150 ml",(19),69.99,69.99,/dermedic-mleczko-w-sprayu-do-opalania-150ml-000000000000309455.html
Solverx Sensitive,"krem do twarzy SPF50+, 50 ml",(275),37.99,37.99,/solverx-krem-do-twarzy-spf50-50-ml-000000000000407912.html
Cetaphil DA Ultra,"krem intensywnie nawilżający do twarzy, 85 g",(69),49.99,57.99,/cetaphil-krem-nawilzajacy-85g-000000000000225492.html
Ziaja Pietruszkowy,"krem pod oczy i na powieki przeciw zmarszczkom, 15 ml",(10),6.99,6.99,/ziaja-krem-pod-oczy-i-na-powieki-przeciw-zmarszczkom-15-ml-000000000000299157.html
Floslek Oil Free,"ochronny krem BB matujący z filtrem SPF50+, 30 ml",(9),39.99,39.99,/floslek-ochronny-krem-bb-matujacy-z-filtrem-spf50-30-ml-000000000000437870.html
Bandi Anti Irritate S.O.S.,"kuracja s.o.s. do twarzy, 50 ml",(46),79.99,79.99,/bandi-kuracja-s.o.s.-do-twarzy-50-ml-000000000000371310.html
Yasumi Stem Cells Cream,"odbudowujący krem na dzień z komórkami macierzystymi do twarzy, 50 ml",(26),49.99,116.99,/yasumi-odbudowujacy-krem-na-dzien-z-komorkami-macierzystymi-do-twarzy-50-ml-000000000000360044.html
Nivea Men,"krem przeciwzmarszkowy do twarzy, 50 ml",(11),37.99,58.99,/nivea-krem-przeciwzmarszkowy-do-twarzy-50-ml-000000000000384085.html
Nivea Soft,"intensywnie nawilżający krem do twarzy i ciała, 200 ml",(7),14.39,15.99,/nivea-intensywnie-nawilzajacy-krem-do-twarzy-i-ciala-200-ml-000000000000218807.html
Solverx Atopic Skin,"krem do twarzy SPF50+, 50 ml",(47),26.59,37.99,/solverx-krem-do-twarzy-spf50-50-ml-000000000000407860.html
Bergamo Collagen,"ujędrniający krem do twarzy, 50 g",(31),49.99,49.99,/bergamo-ujedrniajacy-krem-do-twarzy-50-g-000000000000411833.html
Weleda Skin Food Light,"nawilżający krem do twarzy, 30 ml",(19),28.99,28.99,/weleda-nawilzajacy-krem-do-twarzy-30-ml-000000000000401167.html
Mixa Hyalurogel,"intensywnie nawilżający krem do twarzy dla skóry wrażliwej, normlanej i suchej, 50 ml",(36),23.09,31.99,/mixa-intensywnie-nawilzajacy-krem-dla-skory-wrazliwej-50ml-000000000000286159.html
Tołpa Dermo Face Hydrativ,"nawilżająca płynna esencja pod krem, 75 ml",(64),27.99,39.99,/tolpa-nawilzajaca-plynna-esencja-pod-krem-do-twarzy-75ml-000000000000298378.html
Nivea Sun,"przeciwzmarszczkowy krem do twarzy z SPF50, 50 ml",(8),38.29,38.29,/nivea-przeciwzmarszczkowy-krem-do-twarzy-z-spf50-50-ml-000000000000357035.html
Nivea Men Creme,"krem do twarzy, ciała i rąk męski, 150 ml",(21),14.49,19.99,/nivea-krem-do-twarzy-ciala-i-rak-meski-150-ml-000000000000267524.html
Floslek Sensitive,"wodoodporny krem tonujący BB SPF50+ do twarzy, 30 ml",(4),39.99,39.99,/floslek-wodoodporny-krem-tonujacy-bb-spf50-do-twarzy-30-ml-000000000000437866.html
Tołpa Dermo Face Hydrativ,"bogaty nawilżający krem odprężający na dzień SPF10, 40 ml",(34),39.99,39.99,/tolpa-krem-do-twarzy-40ml-000000000000226628.html
Bandi Hydro Care,"intensywnie nawilżający krem do twarzy, 50 ml",(66),64.99,64.99,/bandi-intensywnie-nawilzajacy-krem-do-twarzy-50-ml-000000000000363879.html
Ziaja Sopot Sun,"antyoksydacyjny krem z witaminą C SPF50+ do twarzy, 50 ml",(37),20.99,20.99,/ziaja-antyoksydacyjny-krem-z-witamina-c-spf50-do-twarzy-50-ml-000000000000257052.html
Solverx Sensitive,"krem do twarzy, 50 ml",(37),19.99,31.99,/solverx-krem-do-twarzy-50-ml-000000000000407833.html
Missha Essence,"krem przeciwsłoneczny do twarzy SPF45 PA+++, 50 ml",(46),69.99,69.99,/missha-krem-przeciwsloneczny-do-twarzy-spf45-pa-50-ml-000000000000385830.html
Lirene,"ochronna emulsja do twarzy z SPF50, 50 ml",(162),23.99,23.99,/lirene-ochronna-emulsja-do-twarzy-z-spf50-50-ml-000000000000413417.html
Bielenda Good Skin Hydra Boost,"nawilżający krem do twarzy, 50 ml",(53),22.19,36.99,/bielenda-nawilzajacy-krem-do-twarzy-50-ml-000000000000387066.html
Basiclab Complementis,"prebiotyczny krem wyciszający do twarzy, 50 ml",(1),87.99,109.99,/basiclab-prebiotyczny-krem-wyciszajacy-do-twarzy-50-ml-000000000000435436.html
Nivea Sun,"matujący krem koloryzujący z SPF50 do twarzy, 50 ml",(2),38.29,38.29,/nivea-matujacy-krem-koloryzujacy-z-spf50-do-twarzy-50-ml-000000000000437831.html
La Roche-Posay Anthelios UVMune,"fluid ochronny SPF50+, 50 ml",(19),89.99,113.99,/la-roche-posay-fluid-ochronny-spf50-50-ml-000000000000435255.html
Bandi UV Expert,"Pre-D3 zaawansowany krem nawilżający do twarzy SPF50, 50 ml",(158),76.99,76.99,/bandi-pre-d3-zaawansowany-krem-nawilzajacy-do-twarzy-spf50-50-ml-000000000000296056.html
Eveline Cosmetics Vitamin C,"nawilżający krem z SPF50 do twarzy, 30 ml",(6),34.99,34.99,/eveline-cosmetics-nawilzajacy-krem-z-spf50-do-twarzy-30-ml-000000000000450334.html
Mixa Niacynamide Glow,"rozświetlający krem do twarzy, 50 ml",(6),24.49,34.99,/mixa-rozswietlajacy-krem-do-twarzy-50-ml-000000000000424092.html
Miya Cosmetics Beauty.lab,"kojący krem do twarzy, 50 ml",(1),67.99,67.99,/miya-cosmetics-kojacy-krem-do-twarzy-50-ml-000000000000438566.html
Tołpa Dermo Face Hydrativ,"krem BB do twarzy SPF30, 40 ml",(62),39.99,39.99,/tolpa-krem-bb-do-twarzy-spf30-40-ml-000000000000383777.html
Benton UV Defense Sun Cream,"krem przeciwsłoneczny do twarzy z SPF50+ PA++++, 50 ml",(5),99.99,99.99,/benton-krem-przeciwsloneczny-do-twarzy-z-spf50-pa-50-ml-000000000000427910.html
Basiclab Protecticus,"emulsja do twarzy SPF50+, 50 ml",(57),109.99,139.99,/basiclab-emulsja-do-twarzy-spf50-50-ml-000000000000388880.html
Bielenda Hydro Lipidium,"krem barierowy nawilżająco-ochronny z SPF50 do twarzy, 30 ml",,17.99,29.99,/bielenda-krem-barierowy-nawilzajaco-ochronny-z-spf50-do-twarzy-30-ml-000000000000459601.html
Weleda Skin Food,"nawilżający krem do twarzy, 30 ml",(31),28.99,28.99,/weleda-krem-do-twarzy-30ml-000000000000294966.html
Skin79 Jeju Mayu,"odżywczy krem do twarzy, 70 ml",(33),114.99,114.99,/skin79-odzywczy-krem-do-twarzy-70-ml-000000000000304025.html
Dermika 100% for Men,"krem przeciw zmarszczkom i bruzdom do twarzy na dzień i noc 50+ męski, 50 ml",(8),35.99,71.99,/dermika-krem-do-twarzy-50-50ml-000000000000260079.html
Vichy Neovadiol Po Menopauzie,"odżywczy krem na dzień przeciw wiotczeniu skóry, 50 ml",(59),119.99,169.99,/vichy-odzywczy-krem-na-dzien-przeciw-wiotczeniu-skory-50-ml-000000000000403991.html
